service_id,date,exception_type
REGWK,20150101,2
REGWK,20150525,2
REGWK,20150704,2
REGWK,20150907,2
REGWK,20151018,2
REGWK,20151126,2
REGWK,20151225,2
REGWK,20160101,2
REGWK,20160530,2
REGWK,20160704,2
REGWK,20160905,2
REGWK,20161018,2
REGWK,20161124,2
REGWK,20161225,2
REGWK,20170101,2
REGWK,20170529,2
REGWK,20170704,2
REGWK,20170904,2
REGWK,20171018,2
REGWK,20171123,2
REGWK,20171225,2
REGWK,20180101,2
REGWK,20180527,2
REGWK,20180704,2
REGWK,20180903,2
REGWK,20181018,2
REGWK,20181122,2
REGWK,20181225,2
REGWK,20190101,2
REGWK,20190527,2
REGWK,20190704,2
REGWK,20190902,2
REGWK,20191018,2
REGWK,20191128,2
REGWK,20191225,2
REGWK,20200101,2
REGWK,20200525,2
REGWK,20200704,2
REGWK,20200907,2
REGWK,20201018,2
REGWK,20201126,2
REGWK,20201225,2
REGWK,20210101,2
REGWK,20210531,2
REGWK,20210704,2
REGWK,20210906,2
REGWK,20211018,2
REGWK,20211125,2
REGWK,20211225,2
