service_id,date,exception_type
REGWK,20150101,2
REGWK,20150525,2
REGWK,20150704,2
REGWK,20150907,2
REGWK,20151018,2
REGWK,20151126,2
REGWK,20151225,2
REGWK,20160101,2
REGWK,20160530,2
REGWK,20160704,2
REGWK,20160905,2
REGWK,20161018,2
REGWK,20161124,2
REGWK,20161226,2
REGWK,20170102,2
REGWK,20170529,2
REGWK,20170704,2
REGWK,20170904,2
REGWK,20171018,2
REGWK,20171123,2
REGWK,20171225,2
REGWK,20180101,2
REGWK,20180527,2
REGWK,20180704,2
REGWK,20180903,2
REGWK,20181018,2
REGWK,20181122,2
REGWK,20181225,2
