X,Y,stop_id,stop_name,stop_desc,stop_lat,stop_lon
-135.30432,57.048985,PRICE_ST,Price St / Burkhart Dr,Near Sawmill Creek Plaza,57.048981,-135.304524
-135.310548,57.048559,CASCADE_LAUNDRY,Cascade Laundry,Cascade Laundry & Convenience Store - Sawmill Creek Blvd,57.048555,-135.310752
-135.323912,57.051868,SJ_CAMPUS,SJ Campus,Sheldon Jackson Campus / Sitka Fine Arts Camp - Near Hames Center and Sitka International Hostel,57.051864,-135.324116
-135.319036,57.049095,TOTEM_PARK,Totem Park,Main entrance to Sitka National Historical Park (Totem Park),57.049091,-135.31924
-135.332352,57.050581,CRESC_HARB,Crescent Harbor,Crescent Harbor parking lot near Harrigan Centennial Hall - All Line Transfer,57.050577,-135.332556
-135.334438,57.053752,SENIOR_CTR,Swan Lake Senior Center,Swan Lake Senior Center and Salvation Army on Lake St,57.053748,-135.334642
-135.334307,57.058197,ARROWHEAD,Arrowhead St / Monastery St,Between Shennett St and Kinkead St,57.058193,-135.334511
-135.336819,57.061044,VERSTOVIA,Verstovia St / A St,Just south of Sitka High School between Sirstad St and Monastery St,57.06104,-135.337023
-135.341727,57.062778,SITKA_HIGH,Sitka High School,"Sitka High School, Performing Arts Center, and Cross Trail access - Red Line & Blue Line Transfer",57.062774,-135.341931
-135.330311,57.053766,BARANOF,Baranof St / Sawmill Creek Rd,Near Baranof Elementary School and Market Center,57.053762,-135.330515
-135.32475,57.054082,BIORKA,Biorka St / Sawmill Creek Rd,Near Sitka Recycling Center and Sitka National Cemetery,57.054078,-135.324954
-135.313787,57.049756,NATIONAL_PARK,Sitka National Historical Park,Sawmill Creek Road entrance to Sitka National Historical Park,57.049752,-135.313991
-135.253033,57.033688,WHALE_PARK,Whale Park,Whale Park overlooks the entrance to Silver Bay and is at the head of the new pedestrian path that follows along Sawmill Creek Rd to the industrial park,57.033684,-135.253237
-135.232429,57.04702,GPIP,Gary Paxton Industrial Park,GPIP Admin building near Blue Lake Rd final stop along Sawmill Creek Rd,57.047016,-135.232633
-135.255296,57.037764,THIMBLEBERRY,Thimbleberry Lake,Thimbleberry Lake and Heart Lake Trailhead,57.03776,-135.2555
-135.280179,57.043588,ANNA,Anna Drive / Sawmill Creek Rd,Across from Knutson Dr and Cedar Beach Rd,57.043584,-135.280383
-135.298927,57.047434,ARR_TRANSF,Arrowhead Transfer,Near Foreign Auto and Mt Verstovia Trailhead,57.04743,-135.299131
