stop_id,stop_name,stop_desc,stop_lat,stop_lon
PRICE_ST,Price St / Burkhart Dr,Near Sawmill Creek Plaza,57.048985,-135.30432
CASCADE_LAUNDRY,Cascade Laundry,Cascade Laundry & Convenience Store - Sawmill Creek Blvd,57.048559,-135.310548
SJ_CAMPUS,SJ Campus,Sheldon Jackson Campus / Sitka Fine Arts Camp - Near Hames Center and Sitka International Hostel,57.051868,-135.323912
NATIONAL_PARK_MAIN,Sitka National Historical Park Main Entrance,Main entrance to Sitka National Historical Park near Lincoln St,57.049095,-135.319036
CRESC_HARB,Crescent Harbor,Crescent Harbor parking lot near Harrigan Centennial Hall - All Line Transfer,57.050581,-135.332352
SENIOR_CTR,Swan Lake Senior Center,Swan Lake Senior Center and Salvation Army on Lake St,57.053752,-135.334438
ARROWHEAD,Arrowhead St / Monastery St,Between Shennett St and Kinkead St,57.058197,-135.334307
VERSTOVIA,Verstovia St / A St,Just south of Sitka High School between Sirstad St and Monastery St,57.061044,-135.336819
SITKA_HIGH,Sitka High School,"Sitka High School, Performing Arts Center, and Cross Trail access - Red Line & Blue Line Transfer",57.062778,-135.341727
BARANOF,Baranof St / Sawmill Creek Rd,Near Baranof Elementary School and Market Center,57.053766,-135.330311
BIORKA,Biorka St / Sawmill Creek Rd,Near Sitka Recycling Center and Sitka National Cemetery,57.054082,-135.32475
NATIONAL_PARK_SMC,Sitka National Historical Park Sawmill Creek Rd Entrance,Sawmill Creek Road entrance to Sitka National Historical Park across from the Raptor Center,57.049756,-135.313787
WHALE_PARK,Whale Park,Whale Park overlooks the entrance to Silver Bay and is at the head of the new pedestrian path that follows along Sawmill Creek Rd to the industrial park,57.033688,-135.253033
GPIP,Gary Paxton Industrial Park,GPIP Admin building near Blue Lake Rd final stop along Sawmill Creek Rd,57.04702,-135.232429
THIMBLEBERRY,Thimbleberry Lake,Thimbleberry Lake and Heart Lake Trailhead,57.037764,-135.255296
ANNA,Anna Drive / Sawmill Creek Rd,Across from Knutson Dr and Cedar Beach Rd,57.043588,-135.280179
ARR_TRANSF,Arrowhead Transfer,Near Foreign Auto and Mt Verstovia Trailhead,57.047434,-135.298927
MCDONALDS,McDonalds,McDonald's Parking Lot across from Peterson Ave,57.059942,-135.349173
LAKESIDE,Lakeside Grocery,AC Lakeside Grocery and shopping center,57.057111,-135.346066
RNDM_HOUSE,Random House,"Downtown near Ernie's, Old Harbor Books, and Harry Race Pharmacy & Ice Cream Parlor",57.049634,-135.336751
COMM_HOSPITAL,Sitka Community Hospital,Near Sitka Community Hospital and Moller Field,57.059807,-135.345621
KASHEVAROFF,Kashevaroff St / Edgecumbe Dr,"Near Keet Gooshi Heen Elementary, Kimsham Ball Fields, and Cross Trail access",57.063196,-135.350402
MILLS,Mills St / Edgecumbe Dr,Near 1300 block of Edgecumbe Dr between Kostrometinoff St & Neva St,57.064874,-135.355018
CHARTERIS,Charteris St / Edgecumbe Dr,"End of stops along Edgecumbe Dr, Cross Trail access via Charteris St",57.066487,-135.359386
SEA_MART,Sea Mart,Sea Mart Quality Foods grocery store,57.068349,-135.367357
GRACE_HARB,Grace Harbor Church,Outbound (to ferry terminal) - Near 1900 block of HPR & Cascade Creek Rd,57.06941,-135.366412
CASC_OUT,Cascade Creek Bridge - Outbound,Outbound (to ferry terminal) - Near 2100 block of HPR & Kramer Ave,57.073839,-135.369543
SAND_DOLLAR,Sand Dollar Dr / Halibut Point Rd,Outbound (to ferry terminal) - Near 2200 block of HPR & Sand Dollar Dr,57.077028,-135.373408
SHARON_DR,Sharon Dr / Halibut Point Rd,Outbound (to ferry terminal) - Near 2700 block of HPR & Sharon Dr,57.085544,-135.38104
CHANNEL_CLUB,Channel Club,Outbound (to ferry terminal) - Near 2900 block of HPR & Channel Club Restaurant,57.089241,-135.385962
SOLLARS_OUT,Sollars Ct / Halibut Point Rd - Outbound,Outbound (to ferry terminal) - Near 3200 block of HPR & Sollars Ct,57.092933,-135.391032
REC_OUT,HPR Rec - Outbound,Outbound (to ferry terminal) - Near 3800 block of HPR & Granite Creek Rd and across from the Rec,57.10273,-135.399437
HORIZON_WY,Horizon Way / Halibut Point Rd,Outbound (to ferry terminal) - Near 4400 block of HPR & Mini Storage,57.112419,-135.394011
BLUE_APTS,Blue Apartments,Outbound (to ferry terminal) - Near 4700 block of HPR & Blue Apartments,57.118229,-135.386558
FERRY_TERM,Ferry Terminal,"Ferry Terminal, Alaska Marine Highway - Final stop along Halibut Point Rd",57.127722,-135.380295
